best_method,times_best,share_best
Ridge,16,0.27586206896551724
Post-threshold ridge,11,0.1896551724137931
OCMT,9,0.15517241379310345
BMT,8,0.13793103448275862
AR,5,0.08620689655172414
Threshold ridge,5,0.08620689655172414
LASSO,4,0.06896551724137931
