method,average_selected,median_selected,min_selected,max_selected,sd_selected
LASSO,0.9655172413793104,0,0,6,1.4505354999239504
Elastic net,1.1896551724137931,0,0,7,1.8108532112493478
Threshold ridge,16.17241379310345,16,13,21,1.500151232545628
Post-threshold ridge,16.17241379310345,16,13,21,1.500151232545628
OCMT,2.8448275862068964,3,1,6,1.181757895737503
BMT,1.1724137931034482,1,1,2,0.3810387941055742
