method,n_forecasts,RMSFE,MAFE,mean_error,median_absolute_error,sd_forecast_error,average_selected,relative_RMSFE_vs_AR,relative_RMSFE_vs_ridge,relative_RMSFE_vs_lasso
LASSO,58,0.5685978512943078,0.3879823182765498,-0.0905656685441644,0.2712136664464,0.5662415301764421,0.9655172413793104,0.9966378470946249,0.9408586846897903,1
AR,58,0.57051601336621,0.39538731867451427,-0.1068832872187525,0.299787947964907,0.5653091080603921,0,1,0.9440326668634542,1.0033734951117663
Threshold ridge,58,0.5729711060763163,0.36463058787340596,-0.12245227968154458,0.21652818120620143,0.5646218576342867,16.17241379310345,1.0043032844873547,0.9480951079943237,1.0076912967083036
Elastic net,58,0.5798481056305852,0.3932418366057985,-0.09838600883838464,0.27720324488118336,0.5764311418586927,1.1896551724137931,1.0163572836620538,0.9594744769815848,1.0197859599902959
Ridge,58,0.6043392706544233,0.415825354589843,-0.01384570896514294,0.2991248846349681,0.6094574308797003,NA,1.059285377615689,1,1.062858871659041
OCMT,58,0.737477425095974,0.44067776124931246,-0.1301283716896192,0.25390236537988353,0.7322459375656609,2.8448275862068964,1.292649825453002,1.2203036620429761,1.2970105733203934
BMT,58,0.8131230610581808,0.465251443716976,-0.09723102113872675,0.2907130976622635,0.8143395125323463,1.1724137931034482,1.4252414340844155,1.3454744719430047,1.4300494790953862
Post-threshold ridge,58,0.8432920013378258,0.5364565001166015,0.006243450105279874,0.3367960078806559,0.8506338224427799,16.17241379310345,1.4781215278466213,1.3953950078813293,1.4831079635954085
