method,horizon,forecast_quarter,target_quarter,train_start,train_end,selected_variables
Ridge,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,NA
Threshold ridge,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,15
Post-threshold ridge,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,15
OCMT,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,1
BMT,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,1
AR,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,0
LASSO,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,2
Elastic net,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,3
Ridge,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,NA
Threshold ridge,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,14
Post-threshold ridge,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,14
OCMT,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,1
BMT,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,1
AR,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,0
LASSO,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,1
Elastic net,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,2
Ridge,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,NA
Threshold ridge,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,15
Post-threshold ridge,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,15
OCMT,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,2
BMT,1,2008 Q2,2008 Q3,1988 Q2,2008 Q1,1
AR,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,0
LASSO,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,0
Elastic net,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,0
Ridge,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,NA
Threshold ridge,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,14
Post-threshold ridge,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,14
OCMT,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,1
BMT,1,2008 Q3,2008 Q4,1988 Q3,2008 Q2,1
AR,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,0
LASSO,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,0
Elastic net,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,0
Ridge,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,NA
Threshold ridge,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,21
Post-threshold ridge,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,21
OCMT,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,2
BMT,1,2008 Q4,2009 Q1,1988 Q4,2008 Q3,1
AR,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,0
LASSO,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,0
Elastic net,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,0
Ridge,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,NA
Threshold ridge,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,17
Post-threshold ridge,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,17
OCMT,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,2
BMT,1,2009 Q1,2009 Q2,1989 Q1,2008 Q4,1
AR,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,0
LASSO,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,0
Elastic net,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,1
Ridge,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,NA
Threshold ridge,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,17
Post-threshold ridge,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,17
OCMT,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,2
BMT,1,2009 Q2,2009 Q3,1989 Q2,2009 Q1,1
AR,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,0
LASSO,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,0
Elastic net,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,1
Ridge,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,NA
Threshold ridge,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,18
Post-threshold ridge,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,18
OCMT,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,1
BMT,1,2009 Q3,2009 Q4,1989 Q3,2009 Q2,1
AR,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,0
LASSO,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,1
Elastic net,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,0
Ridge,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,NA
Threshold ridge,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,16
Post-threshold ridge,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,16
OCMT,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,1
BMT,1,2009 Q4,2010 Q1,1989 Q4,2009 Q3,1
AR,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,0
LASSO,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,0
Elastic net,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,0
Ridge,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,NA
Threshold ridge,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,19
Post-threshold ridge,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,19
OCMT,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,1
BMT,1,2010 Q1,2010 Q2,1990 Q1,2009 Q4,1
AR,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,0
LASSO,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,0
Elastic net,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,0
Ridge,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,NA
Threshold ridge,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,18
Post-threshold ridge,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,18
OCMT,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,2
BMT,1,2010 Q2,2010 Q3,1990 Q2,2010 Q1,1
AR,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,0
LASSO,1,2010 Q3,2010 Q4,1990 Q3,2010 Q2,0
