method,horizon,forecast_quarter,target_quarter,train_start,train_end,selected_variables
Threshold ridge,1,2016 Q3,2016 Q4,1996 Q3,2016 Q2,16
Post-threshold ridge,1,2016 Q3,2016 Q4,1996 Q3,2016 Q2,16
OCMT,1,2016 Q3,2016 Q4,1996 Q3,2016 Q2,4
BMT,1,2016 Q3,2016 Q4,1996 Q3,2016 Q2,2
AR,1,2016 Q4,2017 Q1,1996 Q4,2016 Q3,0
LASSO,1,2016 Q4,2017 Q1,1996 Q4,2016 Q3,1
Elastic net,1,2016 Q4,2017 Q1,1996 Q4,2016 Q3,0
Ridge,1,2016 Q4,2017 Q1,1996 Q4,2016 Q3,NA
Threshold ridge,1,2016 Q4,2017 Q1,1996 Q4,2016 Q3,17
Post-threshold ridge,1,2016 Q4,2017 Q1,1996 Q4,2016 Q3,17
OCMT,1,2016 Q4,2017 Q1,1996 Q4,2016 Q3,4
BMT,1,2016 Q4,2017 Q1,1996 Q4,2016 Q3,2
AR,1,2017 Q1,2017 Q2,1997 Q1,2016 Q4,0
LASSO,1,2017 Q1,2017 Q2,1997 Q1,2016 Q4,0
Elastic net,1,2017 Q1,2017 Q2,1997 Q1,2016 Q4,0
Ridge,1,2017 Q1,2017 Q2,1997 Q1,2016 Q4,NA
Threshold ridge,1,2017 Q1,2017 Q2,1997 Q1,2016 Q4,17
Post-threshold ridge,1,2017 Q1,2017 Q2,1997 Q1,2016 Q4,17
OCMT,1,2017 Q1,2017 Q2,1997 Q1,2016 Q4,4
BMT,1,2017 Q1,2017 Q2,1997 Q1,2016 Q4,2
AR,1,2017 Q2,2017 Q3,1997 Q2,2017 Q1,0
LASSO,1,2017 Q2,2017 Q3,1997 Q2,2017 Q1,3
Elastic net,1,2017 Q2,2017 Q3,1997 Q2,2017 Q1,3
Ridge,1,2017 Q2,2017 Q3,1997 Q2,2017 Q1,NA
Threshold ridge,1,2017 Q2,2017 Q3,1997 Q2,2017 Q1,15
Post-threshold ridge,1,2017 Q2,2017 Q3,1997 Q2,2017 Q1,15
OCMT,1,2017 Q2,2017 Q3,1997 Q2,2017 Q1,4
BMT,1,2017 Q2,2017 Q3,1997 Q2,2017 Q1,2
AR,1,2017 Q3,2017 Q4,1997 Q3,2017 Q2,0
LASSO,1,2017 Q3,2017 Q4,1997 Q3,2017 Q2,3
Elastic net,1,2017 Q3,2017 Q4,1997 Q3,2017 Q2,3
Ridge,1,2017 Q3,2017 Q4,1997 Q3,2017 Q2,NA
Threshold ridge,1,2017 Q3,2017 Q4,1997 Q3,2017 Q2,16
Post-threshold ridge,1,2017 Q3,2017 Q4,1997 Q3,2017 Q2,16
OCMT,1,2017 Q3,2017 Q4,1997 Q3,2017 Q2,4
BMT,1,2017 Q3,2017 Q4,1997 Q3,2017 Q2,2
AR,1,2017 Q4,2018 Q1,1997 Q4,2017 Q3,0
LASSO,1,2017 Q4,2018 Q1,1997 Q4,2017 Q3,0
Elastic net,1,2017 Q4,2018 Q1,1997 Q4,2017 Q3,0
Ridge,1,2017 Q4,2018 Q1,1997 Q4,2017 Q3,NA
Threshold ridge,1,2017 Q4,2018 Q1,1997 Q4,2017 Q3,16
Post-threshold ridge,1,2017 Q4,2018 Q1,1997 Q4,2017 Q3,16
OCMT,1,2017 Q4,2018 Q1,1997 Q4,2017 Q3,4
BMT,1,2017 Q4,2018 Q1,1997 Q4,2017 Q3,2
AR,1,2018 Q1,2018 Q2,1998 Q1,2017 Q4,0
LASSO,1,2018 Q1,2018 Q2,1998 Q1,2017 Q4,0
Elastic net,1,2018 Q1,2018 Q2,1998 Q1,2017 Q4,0
Ridge,1,2018 Q1,2018 Q2,1998 Q1,2017 Q4,NA
Threshold ridge,1,2018 Q1,2018 Q2,1998 Q1,2017 Q4,17
Post-threshold ridge,1,2018 Q1,2018 Q2,1998 Q1,2017 Q4,17
OCMT,1,2018 Q1,2018 Q2,1998 Q1,2017 Q4,5
BMT,1,2018 Q1,2018 Q2,1998 Q1,2017 Q4,2
AR,1,2018 Q2,2018 Q3,1998 Q2,2018 Q1,0
LASSO,1,2018 Q2,2018 Q3,1998 Q2,2018 Q1,0
Elastic net,1,2018 Q2,2018 Q3,1998 Q2,2018 Q1,0
Ridge,1,2018 Q2,2018 Q3,1998 Q2,2018 Q1,NA
Threshold ridge,1,2018 Q2,2018 Q3,1998 Q2,2018 Q1,17
Post-threshold ridge,1,2018 Q2,2018 Q3,1998 Q2,2018 Q1,17
OCMT,1,2018 Q2,2018 Q3,1998 Q2,2018 Q1,5
BMT,1,2018 Q2,2018 Q3,1998 Q2,2018 Q1,2
AR,1,2018 Q3,2018 Q4,1998 Q3,2018 Q2,0
LASSO,1,2018 Q3,2018 Q4,1998 Q3,2018 Q2,1
Elastic net,1,2018 Q3,2018 Q4,1998 Q3,2018 Q2,0
Ridge,1,2018 Q3,2018 Q4,1998 Q3,2018 Q2,NA
Threshold ridge,1,2018 Q3,2018 Q4,1998 Q3,2018 Q2,14
Post-threshold ridge,1,2018 Q3,2018 Q4,1998 Q3,2018 Q2,14
OCMT,1,2018 Q3,2018 Q4,1998 Q3,2018 Q2,4
BMT,1,2018 Q3,2018 Q4,1998 Q3,2018 Q2,1
AR,1,2018 Q4,2019 Q1,1998 Q4,2018 Q3,0
LASSO,1,2018 Q4,2019 Q1,1998 Q4,2018 Q3,0
Elastic net,1,2018 Q4,2019 Q1,1998 Q4,2018 Q3,0
Ridge,1,2018 Q4,2019 Q1,1998 Q4,2018 Q3,NA
Threshold ridge,1,2018 Q4,2019 Q1,1998 Q4,2018 Q3,15
Post-threshold ridge,1,2018 Q4,2019 Q1,1998 Q4,2018 Q3,15
OCMT,1,2018 Q4,2019 Q1,1998 Q4,2018 Q3,6
BMT,1,2018 Q4,2019 Q1,1998 Q4,2018 Q3,1
AR,1,2019 Q1,2019 Q2,1999 Q1,2018 Q4,0
LASSO,1,2019 Q1,2019 Q2,1999 Q1,2018 Q4,0
Elastic net,1,2019 Q1,2019 Q2,1999 Q1,2018 Q4,0
Ridge,1,2019 Q1,2019 Q2,1999 Q1,2018 Q4,NA
Threshold ridge,1,2019 Q1,2019 Q2,1999 Q1,2018 Q4,15
Post-threshold ridge,1,2019 Q1,2019 Q2,1999 Q1,2018 Q4,15
OCMT,1,2019 Q1,2019 Q2,1999 Q1,2018 Q4,5
BMT,1,2019 Q1,2019 Q2,1999 Q1,2018 Q4,1
AR,1,2019 Q2,2019 Q3,1999 Q2,2019 Q1,0
LASSO,1,2019 Q2,2019 Q3,1999 Q2,2019 Q1,0
Elastic net,1,2019 Q2,2019 Q3,1999 Q2,2019 Q1,0
Ridge,1,2019 Q2,2019 Q3,1999 Q2,2019 Q1,NA
Threshold ridge,1,2019 Q2,2019 Q3,1999 Q2,2019 Q1,15
Post-threshold ridge,1,2019 Q2,2019 Q3,1999 Q2,2019 Q1,15
OCMT,1,2019 Q2,2019 Q3,1999 Q2,2019 Q1,5
BMT,1,2019 Q2,2019 Q3,1999 Q2,2019 Q1,1
AR,1,2019 Q3,2019 Q4,1999 Q3,2019 Q2,0
LASSO,1,2019 Q3,2019 Q4,1999 Q3,2019 Q2,1
Elastic net,1,2019 Q3,2019 Q4,1999 Q3,2019 Q2,1
Ridge,1,2019 Q3,2019 Q4,1999 Q3,2019 Q2,NA
Threshold ridge,1,2019 Q3,2019 Q4,1999 Q3,2019 Q2,15
Post-threshold ridge,1,2019 Q3,2019 Q4,1999 Q3,2019 Q2,15
OCMT,1,2019 Q3,2019 Q4,1999 Q3,2019 Q2,4
BMT,1,2019 Q3,2019 Q4,1999 Q3,2019 Q2,1
AR,2,2005 Q2,2005 Q4,1985 Q2,2005 Q1,0
LASSO,2,2005 Q2,2005 Q4,1985 Q2,2005 Q1,1
Elastic net,2,2005 Q2,2005 Q4,1985 Q2,2005 Q1,0
Ridge,2,2005 Q2,2005 Q4,1985 Q2,2005 Q1,NA
Threshold ridge,2,2005 Q2,2005 Q4,1985 Q2,2005 Q1,16
Post-threshold ridge,2,2005 Q2,2005 Q4,1985 Q2,2005 Q1,16
OCMT,2,2005 Q2,2005 Q4,1985 Q2,2005 Q1,0
BMT,2,2005 Q2,2005 Q4,1985 Q2,2005 Q1,0
AR,2,2005 Q3,2006 Q1,1985 Q3,2005 Q2,0
LASSO,2,2005 Q3,2006 Q1,1985 Q3,2005 Q2,1
Elastic net,2,2005 Q3,2006 Q1,1985 Q3,2005 Q2,0
Ridge,2,2005 Q3,2006 Q1,1985 Q3,2005 Q2,NA
Threshold ridge,2,2005 Q3,2006 Q1,1985 Q3,2005 Q2,16
Post-threshold ridge,2,2005 Q3,2006 Q1,1985 Q3,2005 Q2,16
OCMT,2,2005 Q3,2006 Q1,1985 Q3,2005 Q2,0
BMT,2,2005 Q3,2006 Q1,1985 Q3,2005 Q2,0
AR,2,2005 Q4,2006 Q2,1985 Q4,2005 Q3,0
LASSO,2,2005 Q4,2006 Q2,1985 Q4,2005 Q3,0
Elastic net,2,2005 Q4,2006 Q2,1985 Q4,2005 Q3,1
Ridge,2,2005 Q4,2006 Q2,1985 Q4,2005 Q3,NA
Threshold ridge,2,2005 Q4,2006 Q2,1985 Q4,2005 Q3,14
Post-threshold ridge,2,2005 Q4,2006 Q2,1985 Q4,2005 Q3,14
OCMT,2,2005 Q4,2006 Q2,1985 Q4,2005 Q3,0
BMT,2,2005 Q4,2006 Q2,1985 Q4,2005 Q3,0
AR,2,2006 Q1,2006 Q3,1986 Q1,2005 Q4,0
LASSO,2,2006 Q1,2006 Q3,1986 Q1,2005 Q4,0
Elastic net,2,2006 Q1,2006 Q3,1986 Q1,2005 Q4,0
Ridge,2,2006 Q1,2006 Q3,1986 Q1,2005 Q4,NA
Threshold ridge,2,2006 Q1,2006 Q3,1986 Q1,2005 Q4,16
Post-threshold ridge,2,2006 Q1,2006 Q3,1986 Q1,2005 Q4,16
OCMT,2,2006 Q1,2006 Q3,1986 Q1,2005 Q4,0
BMT,2,2006 Q1,2006 Q3,1986 Q1,2005 Q4,0
AR,2,2006 Q2,2006 Q4,1986 Q2,2006 Q1,0
LASSO,2,2006 Q2,2006 Q4,1986 Q2,2006 Q1,1
Elastic net,2,2006 Q2,2006 Q4,1986 Q2,2006 Q1,0
Ridge,2,2006 Q2,2006 Q4,1986 Q2,2006 Q1,NA
Threshold ridge,2,2006 Q2,2006 Q4,1986 Q2,2006 Q1,16
Post-threshold ridge,2,2006 Q2,2006 Q4,1986 Q2,2006 Q1,16
OCMT,2,2006 Q2,2006 Q4,1986 Q2,2006 Q1,0
BMT,2,2006 Q2,2006 Q4,1986 Q2,2006 Q1,0
AR,2,2006 Q3,2007 Q1,1986 Q3,2006 Q2,0
LASSO,2,2006 Q3,2007 Q1,1986 Q3,2006 Q2,1
Elastic net,2,2006 Q3,2007 Q1,1986 Q3,2006 Q2,0
Ridge,2,2006 Q3,2007 Q1,1986 Q3,2006 Q2,NA
Threshold ridge,2,2006 Q3,2007 Q1,1986 Q3,2006 Q2,18
Post-threshold ridge,2,2006 Q3,2007 Q1,1986 Q3,2006 Q2,18
OCMT,2,2006 Q3,2007 Q1,1986 Q3,2006 Q2,0
BMT,2,2006 Q3,2007 Q1,1986 Q3,2006 Q2,0
AR,2,2006 Q4,2007 Q2,1986 Q4,2006 Q3,0
LASSO,2,2006 Q4,2007 Q2,1986 Q4,2006 Q3,1
Elastic net,2,2006 Q4,2007 Q2,1986 Q4,2006 Q3,1
Ridge,2,2006 Q4,2007 Q2,1986 Q4,2006 Q3,NA
Threshold ridge,2,2006 Q4,2007 Q2,1986 Q4,2006 Q3,15
Post-threshold ridge,2,2006 Q4,2007 Q2,1986 Q4,2006 Q3,15
OCMT,2,2006 Q4,2007 Q2,1986 Q4,2006 Q3,0
BMT,2,2006 Q4,2007 Q2,1986 Q4,2006 Q3,0
AR,2,2007 Q1,2007 Q3,1987 Q1,2006 Q4,0
LASSO,2,2007 Q1,2007 Q3,1987 Q1,2006 Q4,0
Elastic net,2,2007 Q1,2007 Q3,1987 Q1,2006 Q4,0
Ridge,2,2007 Q1,2007 Q3,1987 Q1,2006 Q4,NA
Threshold ridge,2,2007 Q1,2007 Q3,1987 Q1,2006 Q4,15
Post-threshold ridge,2,2007 Q1,2007 Q3,1987 Q1,2006 Q4,15
OCMT,2,2007 Q1,2007 Q3,1987 Q1,2006 Q4,0
BMT,2,2007 Q1,2007 Q3,1987 Q1,2006 Q4,0
AR,2,2007 Q2,2007 Q4,1987 Q2,2007 Q1,0
LASSO,2,2007 Q2,2007 Q4,1987 Q2,2007 Q1,0
Elastic net,2,2007 Q2,2007 Q4,1987 Q2,2007 Q1,0
Ridge,2,2007 Q2,2007 Q4,1987 Q2,2007 Q1,NA
Threshold ridge,2,2007 Q2,2007 Q4,1987 Q2,2007 Q1,15
Post-threshold ridge,2,2007 Q2,2007 Q4,1987 Q2,2007 Q1,15
OCMT,2,2007 Q2,2007 Q4,1987 Q2,2007 Q1,0
BMT,2,2007 Q2,2007 Q4,1987 Q2,2007 Q1,0
AR,2,2007 Q3,2008 Q1,1987 Q3,2007 Q2,0
LASSO,2,2007 Q3,2008 Q1,1987 Q3,2007 Q2,0
Elastic net,2,2007 Q3,2008 Q1,1987 Q3,2007 Q2,0
Ridge,2,2007 Q3,2008 Q1,1987 Q3,2007 Q2,NA
Threshold ridge,2,2007 Q3,2008 Q1,1987 Q3,2007 Q2,17
Post-threshold ridge,2,2007 Q3,2008 Q1,1987 Q3,2007 Q2,17
OCMT,2,2007 Q3,2008 Q1,1987 Q3,2007 Q2,0
BMT,2,2007 Q3,2008 Q1,1987 Q3,2007 Q2,0
AR,2,2007 Q4,2008 Q2,1987 Q4,2007 Q3,0
LASSO,2,2007 Q4,2008 Q2,1987 Q4,2007 Q3,1
Elastic net,2,2007 Q4,2008 Q2,1987 Q4,2007 Q3,1
Ridge,2,2007 Q4,2008 Q2,1987 Q4,2007 Q3,NA
Threshold ridge,2,2007 Q4,2008 Q2,1987 Q4,2007 Q3,18
Post-threshold ridge,2,2007 Q4,2008 Q2,1987 Q4,2007 Q3,18
OCMT,2,2007 Q4,2008 Q2,1987 Q4,2007 Q3,0
BMT,2,2007 Q4,2008 Q2,1987 Q4,2007 Q3,0
AR,2,2008 Q1,2008 Q3,1988 Q1,2007 Q4,0
LASSO,2,2008 Q1,2008 Q3,1988 Q1,2007 Q4,1
Elastic net,2,2008 Q1,2008 Q3,1988 Q1,2007 Q4,1
Ridge,2,2008 Q1,2008 Q3,1988 Q1,2007 Q4,NA
Threshold ridge,2,2008 Q1,2008 Q3,1988 Q1,2007 Q4,16
Post-threshold ridge,2,2008 Q1,2008 Q3,1988 Q1,2007 Q4,16
OCMT,2,2008 Q1,2008 Q3,1988 Q1,2007 Q4,0
BMT,2,2008 Q1,2008 Q3,1988 Q1,2007 Q4,0
AR,2,2008 Q2,2008 Q4,1988 Q2,2008 Q1,0
LASSO,2,2008 Q2,2008 Q4,1988 Q2,2008 Q1,0
Elastic net,2,2008 Q2,2008 Q4,1988 Q2,2008 Q1,0
Ridge,2,2008 Q2,2008 Q4,1988 Q2,2008 Q1,NA
Threshold ridge,2,2008 Q2,2008 Q4,1988 Q2,2008 Q1,15
Post-threshold ridge,2,2008 Q2,2008 Q4,1988 Q2,2008 Q1,15
OCMT,2,2008 Q2,2008 Q4,1988 Q2,2008 Q1,0
BMT,2,2008 Q2,2008 Q4,1988 Q2,2008 Q1,0
AR,2,2008 Q3,2009 Q1,1988 Q3,2008 Q2,0
LASSO,2,2008 Q3,2009 Q1,1988 Q3,2008 Q2,1
Elastic net,2,2008 Q3,2009 Q1,1988 Q3,2008 Q2,0
Ridge,2,2008 Q3,2009 Q1,1988 Q3,2008 Q2,NA
Threshold ridge,2,2008 Q3,2009 Q1,1988 Q3,2008 Q2,15
Post-threshold ridge,2,2008 Q3,2009 Q1,1988 Q3,2008 Q2,15
OCMT,2,2008 Q3,2009 Q1,1988 Q3,2008 Q2,0
BMT,2,2008 Q3,2009 Q1,1988 Q3,2008 Q2,0
AR,2,2008 Q4,2009 Q2,1988 Q4,2008 Q3,0
LASSO,2,2008 Q4,2009 Q2,1988 Q4,2008 Q3,1
Elastic net,2,2008 Q4,2009 Q2,1988 Q4,2008 Q3,0
Ridge,2,2008 Q4,2009 Q2,1988 Q4,2008 Q3,NA
Threshold ridge,2,2008 Q4,2009 Q2,1988 Q4,2008 Q3,17
Post-threshold ridge,2,2008 Q4,2009 Q2,1988 Q4,2008 Q3,17
OCMT,2,2008 Q4,2009 Q2,1988 Q4,2008 Q3,0
BMT,2,2008 Q4,2009 Q2,1988 Q4,2008 Q3,0
AR,2,2009 Q1,2009 Q3,1989 Q1,2008 Q4,0
LASSO,2,2009 Q1,2009 Q3,1989 Q1,2008 Q4,1
Elastic net,2,2009 Q1,2009 Q3,1989 Q1,2008 Q4,1
Ridge,2,2009 Q1,2009 Q3,1989 Q1,2008 Q4,NA
Threshold ridge,2,2009 Q1,2009 Q3,1989 Q1,2008 Q4,14
Post-threshold ridge,2,2009 Q1,2009 Q3,1989 Q1,2008 Q4,14
OCMT,2,2009 Q1,2009 Q3,1989 Q1,2008 Q4,0
BMT,2,2009 Q1,2009 Q3,1989 Q1,2008 Q4,0
AR,2,2009 Q2,2009 Q4,1989 Q2,2009 Q1,0
LASSO,2,2009 Q2,2009 Q4,1989 Q2,2009 Q1,1
Elastic net,2,2009 Q2,2009 Q4,1989 Q2,2009 Q1,0
Ridge,2,2009 Q2,2009 Q4,1989 Q2,2009 Q1,NA
Threshold ridge,2,2009 Q2,2009 Q4,1989 Q2,2009 Q1,17
Post-threshold ridge,2,2009 Q2,2009 Q4,1989 Q2,2009 Q1,17
OCMT,2,2009 Q2,2009 Q4,1989 Q2,2009 Q1,0
BMT,2,2009 Q2,2009 Q4,1989 Q2,2009 Q1,0
AR,2,2009 Q3,2010 Q1,1989 Q3,2009 Q2,0
LASSO,2,2009 Q3,2010 Q1,1989 Q3,2009 Q2,1
Elastic net,2,2009 Q3,2010 Q1,1989 Q3,2009 Q2,0
Ridge,2,2009 Q3,2010 Q1,1989 Q3,2009 Q2,NA
Threshold ridge,2,2009 Q3,2010 Q1,1989 Q3,2009 Q2,20
Post-threshold ridge,2,2009 Q3,2010 Q1,1989 Q3,2009 Q2,20
OCMT,2,2009 Q3,2010 Q1,1989 Q3,2009 Q2,0
BMT,2,2009 Q3,2010 Q1,1989 Q3,2009 Q2,0
AR,2,2009 Q4,2010 Q2,1989 Q4,2009 Q3,0
LASSO,2,2009 Q4,2010 Q2,1989 Q4,2009 Q3,0
Elastic net,2,2009 Q4,2010 Q2,1989 Q4,2009 Q3,1
Ridge,2,2009 Q4,2010 Q2,1989 Q4,2009 Q3,NA
Threshold ridge,2,2009 Q4,2010 Q2,1989 Q4,2009 Q3,20
Post-threshold ridge,2,2009 Q4,2010 Q2,1989 Q4,2009 Q3,20
OCMT,2,2009 Q4,2010 Q2,1989 Q4,2009 Q3,0
BMT,2,2009 Q4,2010 Q2,1989 Q4,2009 Q3,0
AR,2,2010 Q1,2010 Q3,1990 Q1,2009 Q4,0
LASSO,2,2010 Q1,2010 Q3,1990 Q1,2009 Q4,1
Elastic net,2,2010 Q1,2010 Q3,1990 Q1,2009 Q4,0
Ridge,2,2010 Q1,2010 Q3,1990 Q1,2009 Q4,NA
Threshold ridge,2,2010 Q1,2010 Q3,1990 Q1,2009 Q4,20
Post-threshold ridge,2,2010 Q1,2010 Q3,1990 Q1,2009 Q4,20
OCMT,2,2010 Q1,2010 Q3,1990 Q1,2009 Q4,0
BMT,2,2010 Q1,2010 Q3,1990 Q1,2009 Q4,0
AR,2,2010 Q2,2010 Q4,1990 Q2,2010 Q1,0
LASSO,2,2010 Q2,2010 Q4,1990 Q2,2010 Q1,1
Elastic net,2,2010 Q2,2010 Q4,1990 Q2,2010 Q1,0
Ridge,2,2010 Q2,2010 Q4,1990 Q2,2010 Q1,NA
Threshold ridge,2,2010 Q2,2010 Q4,1990 Q2,2010 Q1,20
Post-threshold ridge,2,2010 Q2,2010 Q4,1990 Q2,2010 Q1,20
OCMT,2,2010 Q2,2010 Q4,1990 Q2,2010 Q1,0
BMT,2,2010 Q2,2010 Q4,1990 Q2,2010 Q1,0
AR,2,2010 Q3,2011 Q1,1990 Q3,2010 Q2,0
LASSO,2,2010 Q3,2011 Q1,1990 Q3,2010 Q2,0
Elastic net,2,2010 Q3,2011 Q1,1990 Q3,2010 Q2,0
Ridge,2,2010 Q3,2011 Q1,1990 Q3,2010 Q2,NA
Threshold ridge,2,2010 Q3,2011 Q1,1990 Q3,2010 Q2,17
Post-threshold ridge,2,2010 Q3,2011 Q1,1990 Q3,2010 Q2,17
OCMT,2,2010 Q3,2011 Q1,1990 Q3,2010 Q2,0
BMT,2,2010 Q3,2011 Q1,1990 Q3,2010 Q2,0
AR,2,2010 Q4,2011 Q2,1990 Q4,2010 Q3,0
LASSO,2,2010 Q4,2011 Q2,1990 Q4,2010 Q3,0
Elastic net,2,2010 Q4,2011 Q2,1990 Q4,2010 Q3,1
Ridge,2,2010 Q4,2011 Q2,1990 Q4,2010 Q3,NA
Threshold ridge,2,2010 Q4,2011 Q2,1990 Q4,2010 Q3,16
Post-threshold ridge,2,2010 Q4,2011 Q2,1990 Q4,2010 Q3,16
OCMT,2,2010 Q4,2011 Q2,1990 Q4,2010 Q3,0
BMT,2,2010 Q4,2011 Q2,1990 Q4,2010 Q3,0
AR,2,2011 Q1,2011 Q3,1991 Q1,2010 Q4,0
LASSO,2,2011 Q1,2011 Q3,1991 Q1,2010 Q4,1
Elastic net,2,2011 Q1,2011 Q3,1991 Q1,2010 Q4,0
Ridge,2,2011 Q1,2011 Q3,1991 Q1,2010 Q4,NA
Threshold ridge,2,2011 Q1,2011 Q3,1991 Q1,2010 Q4,16
Post-threshold ridge,2,2011 Q1,2011 Q3,1991 Q1,2010 Q4,16
OCMT,2,2011 Q1,2011 Q3,1991 Q1,2010 Q4,0
BMT,2,2011 Q1,2011 Q3,1991 Q1,2010 Q4,0
AR,2,2011 Q2,2011 Q4,1991 Q2,2011 Q1,0
LASSO,2,2011 Q2,2011 Q4,1991 Q2,2011 Q1,1
Elastic net,2,2011 Q2,2011 Q4,1991 Q2,2011 Q1,1
Ridge,2,2011 Q2,2011 Q4,1991 Q2,2011 Q1,NA
Threshold ridge,2,2011 Q2,2011 Q4,1991 Q2,2011 Q1,16
Post-threshold ridge,2,2011 Q2,2011 Q4,1991 Q2,2011 Q1,16
OCMT,2,2011 Q2,2011 Q4,1991 Q2,2011 Q1,0
BMT,2,2011 Q2,2011 Q4,1991 Q2,2011 Q1,0
AR,2,2011 Q3,2012 Q1,1991 Q3,2011 Q2,0
LASSO,2,2011 Q3,2012 Q1,1991 Q3,2011 Q2,0
Elastic net,2,2011 Q3,2012 Q1,1991 Q3,2011 Q2,0
Ridge,2,2011 Q3,2012 Q1,1991 Q3,2011 Q2,NA
Threshold ridge,2,2011 Q3,2012 Q1,1991 Q3,2011 Q2,16
Post-threshold ridge,2,2011 Q3,2012 Q1,1991 Q3,2011 Q2,16
OCMT,2,2011 Q3,2012 Q1,1991 Q3,2011 Q2,1
BMT,2,2011 Q3,2012 Q1,1991 Q3,2011 Q2,1
AR,2,2011 Q4,2012 Q2,1991 Q4,2011 Q3,0
LASSO,2,2011 Q4,2012 Q2,1991 Q4,2011 Q3,0
Elastic net,2,2011 Q4,2012 Q2,1991 Q4,2011 Q3,1
Ridge,2,2011 Q4,2012 Q2,1991 Q4,2011 Q3,NA
Threshold ridge,2,2011 Q4,2012 Q2,1991 Q4,2011 Q3,16
Post-threshold ridge,2,2011 Q4,2012 Q2,1991 Q4,2011 Q3,16
OCMT,2,2011 Q4,2012 Q2,1991 Q4,2011 Q3,1
BMT,2,2011 Q4,2012 Q2,1991 Q4,2011 Q3,1
AR,2,2012 Q1,2012 Q3,1992 Q1,2011 Q4,0
LASSO,2,2012 Q1,2012 Q3,1992 Q1,2011 Q4,1
Elastic net,2,2012 Q1,2012 Q3,1992 Q1,2011 Q4,0
Ridge,2,2012 Q1,2012 Q3,1992 Q1,2011 Q4,NA
Threshold ridge,2,2012 Q1,2012 Q3,1992 Q1,2011 Q4,16
Post-threshold ridge,2,2012 Q1,2012 Q3,1992 Q1,2011 Q4,16
OCMT,2,2012 Q1,2012 Q3,1992 Q1,2011 Q4,0
BMT,2,2012 Q1,2012 Q3,1992 Q1,2011 Q4,0
AR,2,2012 Q2,2012 Q4,1992 Q2,2012 Q1,0
LASSO,2,2012 Q2,2012 Q4,1992 Q2,2012 Q1,0
Elastic net,2,2012 Q2,2012 Q4,1992 Q2,2012 Q1,0
Ridge,2,2012 Q2,2012 Q4,1992 Q2,2012 Q1,NA
Threshold ridge,2,2012 Q2,2012 Q4,1992 Q2,2012 Q1,16
Post-threshold ridge,2,2012 Q2,2012 Q4,1992 Q2,2012 Q1,16
OCMT,2,2012 Q2,2012 Q4,1992 Q2,2012 Q1,0
BMT,2,2012 Q2,2012 Q4,1992 Q2,2012 Q1,0
AR,2,2012 Q3,2013 Q1,1992 Q3,2012 Q2,0
LASSO,2,2012 Q3,2013 Q1,1992 Q3,2012 Q2,1
Elastic net,2,2012 Q3,2013 Q1,1992 Q3,2012 Q2,0
Ridge,2,2012 Q3,2013 Q1,1992 Q3,2012 Q2,NA
Threshold ridge,2,2012 Q3,2013 Q1,1992 Q3,2012 Q2,16
Post-threshold ridge,2,2012 Q3,2013 Q1,1992 Q3,2012 Q2,16
OCMT,2,2012 Q3,2013 Q1,1992 Q3,2012 Q2,0
BMT,2,2012 Q3,2013 Q1,1992 Q3,2012 Q2,0
AR,2,2012 Q4,2013 Q2,1992 Q4,2012 Q3,0
LASSO,2,2012 Q4,2013 Q2,1992 Q4,2012 Q3,0
Elastic net,2,2012 Q4,2013 Q2,1992 Q4,2012 Q3,0
Ridge,2,2012 Q4,2013 Q2,1992 Q4,2012 Q3,NA
Threshold ridge,2,2012 Q4,2013 Q2,1992 Q4,2012 Q3,16
Post-threshold ridge,2,2012 Q4,2013 Q2,1992 Q4,2012 Q3,16
OCMT,2,2012 Q4,2013 Q2,1992 Q4,2012 Q3,1
BMT,2,2012 Q4,2013 Q2,1992 Q4,2012 Q3,1
AR,2,2013 Q1,2013 Q3,1993 Q1,2012 Q4,0
LASSO,2,2013 Q1,2013 Q3,1993 Q1,2012 Q4,1
Elastic net,2,2013 Q1,2013 Q3,1993 Q1,2012 Q4,1
Ridge,2,2013 Q1,2013 Q3,1993 Q1,2012 Q4,NA
Threshold ridge,2,2013 Q1,2013 Q3,1993 Q1,2012 Q4,17
Post-threshold ridge,2,2013 Q1,2013 Q3,1993 Q1,2012 Q4,17
OCMT,2,2013 Q1,2013 Q3,1993 Q1,2012 Q4,0
BMT,2,2013 Q1,2013 Q3,1993 Q1,2012 Q4,0
AR,2,2013 Q2,2013 Q4,1993 Q2,2013 Q1,0
LASSO,2,2013 Q2,2013 Q4,1993 Q2,2013 Q1,0
Elastic net,2,2013 Q2,2013 Q4,1993 Q2,2013 Q1,0
Ridge,2,2013 Q2,2013 Q4,1993 Q2,2013 Q1,NA
Threshold ridge,2,2013 Q2,2013 Q4,1993 Q2,2013 Q1,16
Post-threshold ridge,2,2013 Q2,2013 Q4,1993 Q2,2013 Q1,16
OCMT,2,2013 Q2,2013 Q4,1993 Q2,2013 Q1,0
BMT,2,2013 Q2,2013 Q4,1993 Q2,2013 Q1,0
AR,2,2013 Q3,2014 Q1,1993 Q3,2013 Q2,0
LASSO,2,2013 Q3,2014 Q1,1993 Q3,2013 Q2,1
Elastic net,2,2013 Q3,2014 Q1,1993 Q3,2013 Q2,0
Ridge,2,2013 Q3,2014 Q1,1993 Q3,2013 Q2,NA
