sasdate,RPI,DPCERA3M086SBEA,INDPRO,CMRMTSPLx,RETAILx,UNRATE,CLAIMSx,PAYEMS,AWHMAN,HOUST,PERMIT,M1SL,M2SL,BOGMBASE,BUSLOANS,NONREVSL,CPIAUCSL,PPICMM,PCEPI,OILPRICEx,FEDFUNDS,TB3MS,GS10,AAA,BAA,S&P 500,VIXCLSx,UMCSENTx,TERM_SPREAD,CREDIT_SPREAD
1985-01-01,-0.0010871270109138464,0.008925600130556877,-1.7204490048339238e-4,-0.0025009959734667575,0.007520334565473519,0,-0.03927258171835035,0.0027535488799976804,40.3,7.444833273892193,7.414572881350589,0.002281409779646637,3.113352934125402e-4,-0.02856419509854291,-0.005835817792984699,-0.0016339378744927302,-3.5938161211390707e-6,-2.036865188399517e-4,0.0021636920177647845,0.10811052222678974,-0.030000000000001137,-0.3000000000000007,-0.11999999999999922,-0.05000000000000071,-0.14000000000000057,0.04225561684843537,19.2737,3.0999999999999943,3.620000000000001,1.1799999999999997
1985-02-01,7.873974836734021e-4,0.0037226311244058508,0.002747347377229481,0.003399587743206922,0.01066535186635953,-0.09999999999999964,0.055095900218089966,0.001358392950290721,40.1,7.397561535524052,7.415776975415394,0.0020374460891039448,-0.0019492045702707017,-0.007030671362181273,0.007661545225315258,0.003948338846985422,0.0037664525116394287,0.020559550844780006,-3.474924041602101e-4,0.05332885584220559,0.15000000000000036,0.5099999999999998,0.129999999999999,0.05000000000000071,-0.02999999999999936,0.052778205347387974,16.7049,-2.299999999999997,3.24,1.0999999999999996
1985-03-01,0.004236572290439611,-9.980040748511776e-4,0.001510290507219736,0.008715318386949278,0.005072119108397999,0,-0.028349578318920265,0.0035066885348609134,40.4,7.495541943884256,7.454141078146678,-0.006470732725350814,-0.004133904435511759,0.027284035400040985,0.001144376640936251,0.0014851677813325637,-9.677512935173382e-4,-0.007213864458276653,-7.246394192206296e-4,-0.026786511598389406,0.08000000000000007,0.25,0.34999999999999964,0.4299999999999997,0.4599999999999991,-0.008326442776554366,16.2834,0,3.34,1.129999999999999
1985-04-01,-0.0018521434886675792,0.002717223624001175,-0.002178610346864396,-0.0010256508105541684,0.012841509401074092,0.09999999999999964,0.04480564587294822,0.0020218698862191076,40.5,7.507141079727608,7.416979621381154,0.001375474331779536,-0.0012462524974479194,0.001308793901501737,-0.010974065755100071,-0.0030241192728439614,-0.002821733242381441,0.03142575490993682,-0.002460980048745398,-0.014964327471463701,-0.3100000000000005,-0.5699999999999994,-0.4299999999999997,-0.33000000000000007,-0.17999999999999972,0.006666691358189425,14.0315,0.8999999999999915,3.4799999999999995,1.2799999999999994
1985-05-01,0.0021772144147949035,0.011411156137961953,0.0014529341416293917,0.011518470378067747,0.006250212316849968,-0.09999999999999964,-0.013906671654428493,0.002819657129258246,40.4,7.426549072397305,7.443663683115591,0.0015217879159523662,0.0020377431574951643,-0.007896547726902625,0.007333386091527672,-3.0826211448697904e-4,-3.493761015604946e-6,-0.026413408169496222,9.194597369290847e-4,-0.061780618754363026,-0.2999999999999998,-0.46999999999999975,-0.5800000000000001,-0.5099999999999998,-0.35999999999999943,0.023530497410193973,15.6305,-2.799999999999997,3.369999999999999,1.4299999999999997
1985-06-01,0.0035370353840900037,-0.005305706813827804,-4.852934296026845e-4,-0.016678287936976233,-0.005590915659539064,0.20000000000000018,-8.915494445229655e-4,0.0015094652480236448,40.5,7.424165281042028,7.447751280047908,0.004235770503743019,0.0037025704349984423,0.010968559003694978,-0.0011550740671770754,-0.0029959132880517103,9.271847562200008e-4,-0.019006885344571067,3.5394219998963194e-4,0.02437065137957095,-0.4399999999999995,-0.5300000000000002,-0.6899999999999995,-0.7800000000000011,-0.75,0.02140263611438531,15.8821,4.700000000000003,3.21,1.4600000000000009
1985-07-01,0.0014513744129516226,0.007272759329080003,-0.004743077435995335,0.0019177077116747654,0.0017472314865347727,0,-0.036726375022741564,0.0019373990591606827,40.4,7.428927194802272,7.436617265234227,-8.316704387976159e-4,-0.002640394398397028,-0.0068500814887686445,0.006241544562366919,0.0012001172292581685,-9.35862336389981e-4,0.0028399245302184184,-2.6631721488090676e-4,0.0243587959710867,0.34999999999999964,0.1299999999999999,0.15000000000000036,0.030000000000001137,0.02999999999999936,0.018878379220375052,15.5221,-2.5,3.2300000000000004,1.459999999999999
1985-08-01,-3.8433053113351434e-5,0.010020858632021845,0.003037209495540427,0.018011117117334052,0.014240974688830121,-0.3000000000000007,0.06684913447785057,0.0019643155767781195,40.6,7.463363045520021,7.4999765409521215,3.7006303176134736e-4,-0.0010299042691457316,-0.007588521508080426,-0.003788506924037982,-0.0021189336588722796,-3.448492879698506e-6,-0.0022206493920462478,8.481451581880961e-4,0.00863837150629232,0.020000000000000462,0.05999999999999961,0.019999999999999574,0.08000000000000007,0.07000000000000028,-0.022059718064732614,14.8626,-1.5999999999999943,3.1900000000000004,1.4499999999999993
1985-09-01,0.004581473027288396,0.013646730715667577,0.003377860635521479,0.0026792822167802655,0.027795083883493277,0,0.010087427153742112,0.0020930655725628355,40.6,7.424165281042028,7.557994958530806,-1.4182851358413018e-4,-8.897442817694667e-4,0.00653655865896674,0.0034801603896594813,0.005812478600267568,-3.435720672406717e-6,0.011289890518244583,-0.0016151580147170108,0.003589437667420814,0.019999999999999574,-0.040000000000000036,0.03999999999999915,0.019999999999999574,-0.019999999999999574,-0.022557347424074337,16.7649,-0.30000000000001137,3.2699999999999996,1.4100000000000001
1985-10-01,0.004792300342614908,-0.015667253087160216,-0.003114667627625245,-0.009262684575867652,-0.02943095948522867,0,-0.006754707905358259,0.00191565083699885,40.7,7.51425465281641,7.463363045520021,-0.004407109166768564,-3.4957959372405867e-4,-0.0028522446178156358,-0.011326843552413202,-0.004986840566543194,0.0018415959542785743,-0.009438815397840195,-2.2627643443406953e-5,0.024147501127952165,0.07000000000000028,0.0600000000000005,-0.129999999999999,-0.05000000000000071,-0.120000000000001,0.011342276603934387,16.1499,-3.6999999999999886,3.08,1.3399999999999999
1985-11-01,0.0015373380227625688,0.0026526182766222206,0.0035117423940054238,0.0072919078343556265,0.004813414280720352,-0.09999999999999964,-0.03091030043974108,0.0021354926865075896,40.7,7.437206366871292,7.433666540166168,-2.181490073569492e-4,-7.482789136750156e-4,0.010037122031630652,0.010221471704092266,-9.284154554709545e-4,9.042609132769996e-4,-0.013035283877287362,0.001241104025881068,-9.454246473143968e-4,0.0600000000000005,0.08000000000000007,-0.46000000000000085,-0.46999999999999886,-0.3699999999999992,0.05891721949820994,16.1135,2.5,2.539999999999999,1.4399999999999995
1985-12-01,0.006093219256142035,0.010997488387797905,0.009583811447792634,-0.005357028066029557,0.012422839606132996,0,-0.02093443175473375,0.0016848348584961315,40.9,7.571473648851271,7.492203042618741,0.005124672813716202,0.0017916951751377752,0.007340121844996439,-0.00442511196090134,-0.0012147617120223941,-2.1042221217015822e-5,0.029898101449529868,4.4399980103015935e-4,-0.16594993211373055,0.21999999999999886,-0.14000000000000057,-0.5199999999999996,-0.39000000000000057,-0.41000000000000014,0.04842843510055772,18.3427,3,2.16,1.42
1986-01-01,-6.469057559641556e-4,0.0010090818212451502,0.005520329372935784,0.014918798979211445,0.009642835000210681,-0.2999999999999998,-0.04921205717713484,0.0012465733519952948,40.7,7.586803535162581,7.52131798019924,-0.009759667237037029,-0.0017500080908972038,-0.03685500924507501,-6.503940752313753e-4,6.666753210105014e-5,-9.303548743915258e-4,0.008510336927938233,0.0012424470978156243,-0.047454984472835804,-0.129999999999999,-0.02999999999999936,-0.07000000000000028,-0.10999999999999943,-0.14000000000000057,0.004332136739134462,18.1213,1.6999999999999886,2.119999999999999,1.3899999999999988
