method,horizon,forecast_quarter,target_quarter,train_start,train_end,actual,forecast,forecast_error,squared_error,absolute_error,selected_variables,lambda
AR,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,0.6098982914680917,0.6569153426264104,-0.04701705115831867,0.0022106030996239547,0.04701705115831867,0,NA
LASSO,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,0.6098982914680917,0.6569153426264105,-0.04701705115831878,0.002210603099623965,0.04701705115831878,0,0.1948258339506912
Elastic net,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,0.6098982914680917,0.6569153426264105,-0.04701705115831878,0.002210603099623965,0.04701705115831878,0,0.38965166790138245
Ridge,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,0.6098982914680917,0.5574179034477275,0.052480388020364255,0.002754191126767992,0.052480388020364255,NA,1.9482583395069206
Threshold ridge,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,0.6098982914680917,0.7054350158810889,-0.09553672441299721,0.009127265711564978,0.09553672441299721,16,1.9482583395069206
Post-threshold ridge,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,0.6098982914680917,0.6630464074481575,-0.05314811598006575,0.00282472223223052,0.05314811598006575,16,1.9482583395069206
OCMT,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,0.6098982914680917,0.9318253405196046,-0.3219270490515129,0.10363702491101522,0.3219270490515129,2,NA
BMT,1,2007 Q1,2007 Q2,1987 Q1,2006 Q4,0.6098982914680917,0.8867579544557087,-0.276859662987617,0.07665127298961685,0.276859662987617,1,NA
AR,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,0.5743731109307149,0.7248639511377956,-0.1504908402070807,0.022647492986233097,0.1504908402070807,0,NA
LASSO,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,0.5743731109307149,0.7248639511377954,-0.1504908402070806,0.022647492986233062,0.1504908402070806,1,0.19415949478829528
Elastic net,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,0.5743731109307149,0.7248639511377954,-0.1504908402070806,0.022647492986233062,0.1504908402070806,0,0.3883189895765906
Ridge,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,0.5743731109307149,0.5839991757970467,-0.009626064866331885,9.266112481082908e-5,0.009626064866331885,NA,1.9415949478829622
Threshold ridge,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,0.5743731109307149,0.6922585836419228,-0.11788547271120797,0.01389698467634496,0.11788547271120797,15,1.9415949478829622
Post-threshold ridge,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,0.5743731109307149,0.4691017794137342,0.10527133151698065,0.011082053239358043,0.10527133151698065,15,1.9415949478829622
OCMT,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,0.5743731109307149,0.42061893902885394,0.15375417190186091,0.023640345377226996,0.15375417190186091,2,NA
BMT,1,2007 Q2,2007 Q3,1987 Q2,2007 Q1,0.5743731109307149,0.5851681002010942,-0.010794989270379363,1.1653179334760556e-4,0.010794989270379363,1,NA
AR,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,0.6262715512194816,0.7141006442871183,-0.08782909306763664,0.007713949589083579,0.08782909306763664,0,NA
LASSO,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,0.6262715512194816,0.7141006442871183,-0.08782909306763664,0.007713949589083579,0.08782909306763664,1,0.19424327650130052
Elastic net,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,0.6262715512194816,0.7141006442871183,-0.08782909306763664,0.007713949589083579,0.08782909306763664,0,0.38848655300260115
Ridge,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,0.6262715512194816,0.6353539350064,-0.009082383786918391,8.248969525287806e-5,0.009082383786918391,NA,1.942432765013015
Threshold ridge,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,0.6262715512194816,0.7105830466679995,-0.0843114954485179,0.007108428264765455,0.0843114954485179,15,1.942432765013015
Post-threshold ridge,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,0.6262715512194816,0.4527944980745125,0.17347705314496914,0.030094287967862447,0.17347705314496914,15,1.942432765013015
OCMT,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,0.6262715512194816,0.48393151835911086,0.14234003286037078,0.020260684954691435,0.14234003286037078,2,NA
BMT,1,2007 Q3,2007 Q4,1987 Q3,2007 Q2,0.6262715512194816,0.5343690616153345,0.09190248960414715,0.008446067595440376,0.09190248960414715,1,NA
AR,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,-0.42767755900321447,0.714301761972539,-1.1419793209757536,1.3041167695362432,1.1419793209757536,0,NA
LASSO,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,-0.42767755900321447,0.714301761972539,-1.1419793209757536,1.3041167695362432,1.1419793209757536,0,0.1832647504016869
Elastic net,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,-0.42767755900321447,0.714301761972539,-1.1419793209757536,1.3041167695362432,1.1419793209757536,0,0.3665295008033739
Ridge,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,-0.42767755900321447,0.6253031951181016,-1.052980754121316,1.1087684685498955,1.052980754121316,NA,5.863128934767591
Threshold ridge,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,-0.42767755900321447,0.6792666946639492,-1.1069442536671636,1.225325580726754,1.1069442536671636,15,5.863128934767591
Post-threshold ridge,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,-0.42767755900321447,0.29672061365970676,-0.7243981726629212,0.5247527125573793,0.7243981726629212,15,5.863128934767591
OCMT,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,-0.42767755900321447,0.49393831234124463,-0.9216158713444591,0.8493758143140065,0.9216158713444591,1,NA
BMT,1,2007 Q4,2008 Q1,1987 Q4,2007 Q3,-0.42767755900321447,0.49393831234124463,-0.9216158713444591,0.8493758143140065,0.9216158713444591,1,NA
AR,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,0.5936625931315831,0.4272410388315812,0.16642155430000188,0.027696133735628476,0.16642155430000188,0,NA
LASSO,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,0.5936625931315831,0.448312653402871,0.14534993972871207,0.02112660497914023,0.14534993972871207,2,0.15007104801220916
Elastic net,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,0.5936625931315831,0.44848249714028,0.1451800959913031,0.021077260272043985,0.1451800959913031,3,0.2734782994398889
Ridge,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,0.5936625931315831,0.29181971460584094,0.30184287852574215,0.09110912331670594,0.30184287852574215,NA,1.983850935607614
Threshold ridge,1,2008 Q1,2008 Q2,1988 Q1,2007 Q4,0.5936625931315831,0.4230425317890086,0.17062006134257451,0.02911120533254389,0.17062006134257451,14,1.983850935607614
