forecast_quarter,forecast_quarter_date,best_method,actual,forecast,squared_error
2005 Q2,2005-04-01,Threshold ridge,0.7807581701131383,0.7799470800383177,6.578671094725003e-7
2005 Q3,2005-07-01,Post-threshold ridge,0.5539792372076136,0.5695262495469599,2.417095926797861e-4
2005 Q4,2005-10-01,BMT,1.3364138447713003,1.098909478408809,0.05640832404124853
2006 Q1,2006-01-01,Threshold ridge,0.25841857488995146,0.8890285906381415,0.39766899196193256
2006 Q2,2006-04-01,BMT,0.14984360400802643,0.4627445077013133,0.0979069755320756
2006 Q3,2006-07-01,AR,0.8557775565416037,0.6176607767032284,0.0566996008405973
2006 Q4,2006-10-01,Post-threshold ridge,0.3003840617131104,0.7279456141286123,0.18280888110395396
2007 Q1,2007-01-01,AR,0.6098982914680917,0.6569153426264104,0.00221060309962395
2007 Q2,2007-04-01,Ridge,0.5743731109307149,0.5839991757970467,9.266112481082908e-5
2007 Q3,2007-07-01,Ridge,0.6262715512194816,0.6353539350064,8.248969525287806e-5
2007 Q4,2007-10-01,Post-threshold ridge,-0.42767755900321447,0.29672061365970676,0.5247527125573793
2008 Q1,2008-01-01,OCMT,0.5936625931315831,0.508545168841984,0.00724497591769563
2008 Q2,2008-04-01,Ridge,-0.5266423802783748,0.652619729112888,1.3906591226459306
2008 Q3,2008-07-01,Post-threshold ridge,-2.2133412739485436,-0.1018170011690188,4.4585347545371015
2008 Q4,2008-10-01,Threshold ridge,-1.1413631359902254,-1.2339456681522338,0.00857152526152932
2009 Q1,2009-01-01,LASSO,-0.178810721762801,-0.21057406371320508,0.0010089098918583
2009 Q2,2009-04-01,BMT,0.3505771547139602,0.3057049548451448,0.00201351432106691
2009 Q3,2009-07-01,OCMT,1.0751135379244658,0.8519242350182052,0.04981346493178255
2009 Q4,2009-10-01,Threshold ridge,0.483331022067901,0.7848920155420188,0.09093903278509692
2010 Q1,2010-01-01,OCMT,0.9629349822608546,0.8051333476339653,0.02490135589091828
2010 Q2,2010-04-01,Ridge,0.7681272705003295,0.7783318562119463,1.0413356954573508e-4
2010 Q3,2010-07-01,Threshold ridge,0.523736364445071,0.5939276021146251,0.00492680984558383
2010 Q4,2010-10-01,Ridge,-0.23748667360496967,0.5647834857471559,0.6436374085868849
2011 Q1,2011-01-01,OCMT,0.6743037468666557,0.6456352978405794,8.218799695607379e-4
2011 Q2,2011-04-01,BMT,-0.0223152255784953,0.5938508942654627,0.3796606872435588
2011 Q3,2011-07-01,Post-threshold ridge,1.1167896811464573,1.2455236445156026,0.01657243332472845
2011 Q4,2011-10-01,Ridge,0.8350941818790147,0.8298175391779571,2.784295819462502e-5
2012 Q1,2012-01-01,OCMT,0.4453416266322563,0.5939355299392026,0.02208014809999411
2012 Q2,2012-04-01,Ridge,0.14392437648620415,0.44033126723039817,0.08785704488064057
2012 Q3,2012-07-01,BMT,0.11557374157504796,0.20058483236051144,0.00722688555653431
2012 Q4,2012-10-01,Post-threshold ridge,0.9817259265515688,0.994130795631206,1.5388077688294248e-4
2013 Q1,2013-01-01,Ridge,0.26727882651371715,0.44308684238160506,0.03090845844340353
2013 Q2,2013-04-01,Post-threshold ridge,0.8477896552497199,0.8305420675339235,2.9747928201409384e-4
2013 Q3,2013-07-01,OCMT,0.8679640238263175,0.8780188726265961,1.010999843964623e-4
2013 Q4,2013-10-01,Ridge,-0.34569281496601434,0.5121315158810744,0.7358625825932555
2014 Q1,2014-01-01,Post-threshold ridge,1.283569022914932,1.2542679123872549,8.585550781551458e-4
2014 Q2,2014-04-01,LASSO,1.2080648325781596,0.8665801380616447,0.11661179658903748
2014 Q3,2014-07-01,OCMT,0.5044586015433339,0.5085887939629943,1.7058489423420186e-5
2014 Q4,2014-10-01,BMT,0.8964547876924911,0.8100475635572632,0.00746620838275551
2015 Q1,2015-01-01,Post-threshold ridge,0.6174946582536478,0.5827392218299176,0.00120794036100395
2015 Q2,2015-04-01,Ridge,0.3994462115690211,0.4173521869965075,3.206239560097467e-4
2015 Q3,2015-07-01,Post-threshold ridge,0.18430917271050615,0.2714636466363452,0.00759590232528975
2015 Q4,2015-10-01,Ridge,0.5778466518471248,0.5933035538490111,2.389158194959173e-4
2016 Q1,2016-01-01,Post-threshold ridge,0.32060956626729364,0.2974086846402436,5.382809082723877e-4
2016 Q2,2016-04-01,Ridge,0.7068859191104337,0.6243449944470493,0.00681300424428651
2016 Q3,2016-07-01,BMT,0.5527685286210726,0.5540331655731292,1.5993066205069714e-6
2016 Q4,2016-10-01,OCMT,0.48570873310360696,0.5457198650329956,0.00360133595544649
2017 Q1,2017-01-01,LASSO,0.5583111012978037,0.5479942892032004,1.0643661179535364e-4
2017 Q2,2017-04-01,Ridge,0.785431525684821,0.662758764565277,0.01504860632069269
2017 Q3,2017-07-01,AR,1.1207427769393874,0.647959802348969,0.2235237410625642
2017 Q4,2017-10-01,AR,0.8101194549169577,0.78060709964320385,8.709791138042663e-4
2018 Q1,2018-01-01,Ridge,0.5294212303768475,0.5973156919282094,0.00460965790934936
2018 Q2,2018-04-01,Ridge,0.621760482522582,0.6309808073856772,8.501439058101168e-5
2018 Q3,2018-07-01,AR,0.14154399831838305,0.5779009777366699,0.19040741348705123
2018 Q4,2018-10-01,BMT,0.6223772907267389,0.5002541725223215,0.01491405599997009
2019 Q1,2019-01-01,LASSO,0.8316777932895647,0.5634725226895503,0.07193406717762696
2019 Q2,2019-04-01,OCMT,1.1632102580909631,0.7782475244742004,0.1481963062736906
2019 Q3,2019-07-01,Ridge,0.6795635968053659,0.6419882919327904,0.00141190353626699
